,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
Adenylate kinase isoenzyme 1 ,Q9R0Y5,22 kDa,0.00,3.46,0.00,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.95,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
Adenylosuccinate synthetase isozyme 1 ,P28650,50 kDa,0.00,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.94,0.00,0.00,0.00,3.28,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.74,0.93,0.00,0.00,0.00,0.78,0.00,0.00
Adenylyl cyclase-associated protein 1 ,P40124,52 kDa,0.00,0.00,0.00,4.76,2.31,0.00,3.48,6.23,10.02,6.03,3.61,1.15,0.00,0.00,3.76,2.98,2.19,6.28,1.64,2.30,3.35,0.00,6.18,0.82,5.70,10.75,3.95,5.31,5.09,4.55,7.80,8.13,8.31,8.20,8.13,0.00,6.39,6.55,4.63,2.59,6.01,4.67,5.46,4.83,4.35
Adiponectin ,Q60994,27 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,0.00,0.00,0.00,1.50,1.87,0.00,2.42,1.09
ADP/ATP translocase 2 ,P51881,33 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00
ADP-ribosylation factor 2 ,Q8BSL7,21 kDa,18.06,8.06,7.22,13.08,10.39,7.60,6.97,6.23,6.26,11.05,9.62,12.62,19.72,7.91,9.40,11.91,6.58,2.09,16.42,10.74,16.76,7.56,6.18,12.32,4.75,13.23,3.95,10.62,9.32,7.27,9.74,9.04,12.01,6.15,17.16,0.00,6.39,14.98,10.19,12.07,3.76,3.74,7.80,3.62,6.52
ADP-ribosylation factor-like protein 3 ,Q9WUL7,20 kDa,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.94,0.00,0.00,0.00,0.00,2.30,3.35,0.94,0.00,0.00,0.00,0.83,0.00,0.00,0.85,0.91,0.00,1.81,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00
ADP-ribosylation factor-like protein 8A ,Q8VEH3,21 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.00,1.65,1.98,0.00,6.78,2.73,0.97,0.00,2.77,0.00,2.71,0.00,3.65,3.74,1.85,2.59,5.26,1.87,1.56,3.62,0.00
Advanced glycation end-products receptor ,O35444,43 kDa,1.64,4.61,0.00,20.21,24.24,12.16,30.20,22.42,27.55,26.11,28.87,35.56,43.39,34.26,23.51,23.82,38.41,18.83,37.77,24.56,31.01,41.58,30.89,17.25,23.76,25.63,24.70,24.78,22.04,39.09,28.26,28.02,40.65,42.05,33.41,27.85,28.31,34.64,43.55,38.78,40.58,38.30,45.21,44.68,48.89
Agrin ,A2ASQ1,208 kDa,0.00,0.00,0.00,0.00,0.00,0.00,4.65,3.74,2.50,6.03,1.20,0.00,0.00,0.00,0.00,1.99,0.00,1.05,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.91,0.00,0.00,1.85,0.00,0.90,0.00,3.65,3.74,2.78,5.17,2.25,0.93,3.12,1.21,2.17
A-kinase anchor protein 12 ,Q9WTQ5,181 kDa,0.00,3.46,0.00,1.19,0.00,0.00,1.16,2.49,0.00,4.02,2.41,2.29,0.00,0.88,2.82,7.94,4.39,6.28,1.64,4.60,8.38,5.67,1.03,2.46,0.95,1.65,6.91,1.77,4.24,1.82,0.00,0.00,0.00,0.00,1.81,0.00,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A-kinase anchor protein 2 ,O54931,99 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.29,1.97,2.64,0.94,6.95,1.10,4.19,4.11,6.91,4.19,11.34,0.00,4.11,0.95,1.65,0.99,4.43,6.78,10.00,7.80,5.42,9.24,9.23,7.22,0.00,5.48,7.49,3.71,4.31,7.52,3.74,3.12,0.00,0.00
A-kinase anchor protein 5 ,D3YVF0,79 kDa,0.00,0.00,0.00,8.32,10.39,1.52,4.65,7.47,10.02,4.02,2.41,3.44,4.93,8.78,10.35,8.93,7.68,8.37,14.78,9.98,8.38,14.17,11.33,7.39,3.80,6.62,6.91,7.97,13.56,12.73,13.64,13.56,15.71,8.20,15.35,5.22,16.44,10.30,7.41,7.76,3.76,9.34,6.24,1.21,7.60
Alcohol dehydrogenase 1 ,P00329,40 kDa,0.00,0.00,0.00,1.19,3.46,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,4.11,0.77,1.68,0.94,0.00,4.11,0.95,0.83,0.99,3.54,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aldehyde dehydrogenase/ mitochondrial ,P47738,57 kDa,0.00,0.00,0.00,4.76,1.15,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,2.30,3.35,0.00,0.00,0.00,6.65,1.65,0.00,0.00,0.00,0.00,0.00,0.00,2.77,0.00,0.00,5.22,4.57,0.94,0.00,2.59,0.00,0.00,0.00,0.00,0.00
Alpha globin 1 ,Q91VB8,15 kDa,72.24,65.67,70.42,53.50,98.12,74.48,81.30,29.89,72.63,7.03,19.25,24.09,27.61,28.11,122.26,14.89,27.43,18.83,114.95,73.66,15.93,10.39,36.04,57.51,15.21,40.52,18.77,28.32,17.80,15.45,10.72,16.27,7.39,21.54,54.18,53.96,10.96,20.59,20.39,35.33,18.79,25.22,14.81,9.66,28.25
Alpha glucosidase 2 alpha neutral subunit ,A1A4T2 (+1),109 kDa,0.00,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,1.64,0.77,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alpha-1-antitrypsin 1-1 ,P07758 (+1),46 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.44,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.52,0.00,0.00,1.87,0.00,12.07,0.00,0.93,5.46,2.42,0.00
Alpha-2-HS-glycoprotein ,P29699,37 kDa,0.00,10.37,0.00,7.13,8.08,4.56,3.48,1.25,5.01,2.01,4.81,8.03,2.96,0.00,1.88,0.00,3.29,0.00,5.75,3.84,0.84,0.00,5.15,5.75,5.70,4.96,2.96,7.97,1.70,0.91,0.00,0.00,0.00,0.00,6.32,0.00,1.83,5.62,0.93,12.07,0.75,0.00,6.24,0.00,0.00
Alpha-2-macroglobulin receptor-associated protein ,P55302 (+1),42 kDa,8.21,5.76,5.42,8.32,13.85,7.60,3.48,2.49,3.76,3.01,7.22,6.88,0.00,4.39,1.88,3.97,0.00,4.19,3.28,2.30,5.87,0.94,4.12,0.00,4.75,3.31,4.94,13.28,5.93,10.00,19.49,11.75,17.55,10.26,14.45,6.96,1.83,5.62,6.49,4.31,6.01,5.60,0.78,0.00,2.17
Alpha-actinin-1 ,Q7TPR4,103 kDa,0.00,3.46,0.00,0.00,0.00,0.00,0.00,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alpha-actinin-4 ,P57780,105 kDa,3.28,4.61,5.42,14.27,5.77,4.56,5.81,6.23,6.26,7.03,0.00,0.00,4.93,10.54,8.46,2.98,2.19,13.60,9.85,8.44,10.90,3.78,2.06,8.22,9.50,3.31,3.95,0.89,1.70,0.91,1.95,0.00,0.00,2.05,0.00,0.00,3.65,1.87,1.85,2.59,1.50,0.93,2.34,0.00,0.00
Alpha-aminoadipic semialdehyde dehydrogenase ,Q9DBF1,59 kDa,6.57,3.46,0.00,4.76,1.15,3.04,13.94,7.47,5.01,9.04,4.81,8.03,5.92,6.15,5.64,7.94,5.49,4.19,3.28,6.14,9.22,5.67,9.27,5.75,4.75,3.31,8.89,4.43,3.39,3.64,11.69,7.23,10.16,7.18,9.93,0.00,16.44,13.11,11.12,12.07,6.76,5.60,6.24,0.00,0.00
AlphaCstF-64 variant 4 ,A2AEK1,59 kDa,6.57,0.00,5.42,0.00,3.46,1.52,2.32,4.98,5.01,4.02,2.41,4.59,3.94,4.39,3.76,3.97,4.39,4.19,2.46,0.77,2.51,5.67,4.12,0.82,0.95,4.13,1.98,0.00,0.00,0.91,1.95,1.81,0.00,1.03,0.90,0.00,0.00,0.00,0.93,1.72,3.76,0.00,1.56,0.00,0.00
Alpha-enolase ,P17182,47 kDa,21.35,6.91,16.25,21.40,16.16,15.20,10.45,13.70,11.27,15.07,13.23,13.76,19.72,8.78,5.64,15.88,8.78,9.42,14.78,11.51,14.25,11.34,13.39,13.97,19.01,9.10,7.90,6.20,7.63,11.82,5.85,10.85,13.86,5.13,9.93,0.00,3.65,8.43,6.49,8.62,6.76,4.67,11.69,0.00,3.26
Alpha-fetoprotein ,P02772,67 kDa,75.53,87.56,86.67,72.52,70.41,68.40,34.84,17.44,32.56,20.09,7.22,24.09,25.64,3.51,27.27,15.88,15.36,12.56,38.59,12.28,6.71,10.39,19.56,16.43,12.36,14.06,7.90,0.00,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alpha-N-acetylgalactosaminidase ,Q9QWR8,47 kDa,4.93,3.46,0.00,4.76,5.77,0.00,5.81,3.74,2.50,18.08,13.23,5.74,6.90,16.69,18.81,5.96,9.88,9.42,9.85,13.05,13.41,5.67,2.06,11.50,5.70,10.75,11.85,7.97,9.32,12.73,4.87,8.13,5.54,10.26,9.93,1.74,8.22,7.49,9.27,8.62,6.76,3.74,11.69,4.83,7.60
Alpha-parvin ,Q9EPC1,42 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.00,3.35,1.89,0.00,0.82,0.95,0.83,0.00,0.00,1.70,0.00,2.92,0.00,3.70,1.03,0.00,0.00,0.00,0.00,2.78,1.72,4.51,4.67,1.56,0.00,0.00
Alpha-synuclein ,O55042,14 kDa,0.00,0.00,0.00,3.57,4.62,3.04,4.65,1.25,2.50,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,1.64,0.00,0.00,0.00,2.06,0.00,0.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,4.52,0.00,0.00,1.87,2.78,4.31,1.50,2.80,0.00,0.00,4.35
Alpha-taxilin ,Q6PAM1,62 kDa,0.00,0.00,0.00,1.19,4.62,0.00,0.00,1.25,0.00,2.01,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,1.53,0.84,1.89,0.00,0.82,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 ,P31230,34 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00
Amphiphysin ,Q7TQF7,75 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.90,0.00,0.00,1.81,0.00,0.00,3.74,0.00,0.00,0.75,0.00,0.00,0.00,0.00
Amyloid beta A4 protein ,P12023 (+1),87 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,1.20,1.15,0.00,2.64,1.88,0.99,0.00,1.05,0.00,2.30,1.68,0.00,0.00,0.82,0.00,0.00,0.00,1.77,0.00,0.91,0.00,1.81,0.92,0.00,3.61,0.00,3.65,0.94,0.00,4.31,0.00,0.00,0.00,0.00,0.00
Annexin A1 ,P10107,39 kDa,9.85,3.46,0.00,14.27,9.23,12.16,16.26,4.98,5.01,15.07,21.66,18.35,7.89,22.84,15.05,6.95,8.78,7.32,13.96,12.28,13.41,11.34,8.24,9.86,16.16,9.92,3.95,15.05,11.02,4.55,10.72,10.85,12.01,3.08,16.25,3.48,15.52,21.53,6.49,24.13,15.03,12.14,24.17,6.04,5.43
Annexin A2 ,P07356,39 kDa,19.70,3.46,7.22,4.76,3.46,6.08,3.48,1.25,0.00,10.04,8.42,2.29,6.90,6.15,5.64,9.93,4.39,17.79,5.75,3.84,10.06,6.61,1.03,5.75,17.11,4.13,1.98,4.43,0.85,0.00,3.90,1.81,6.47,2.05,0.00,1.74,6.39,4.68,2.78,5.17,1.50,5.60,7.80,6.04,2.17
Annexin A3 ,O35639,36 kDa,0.00,0.00,0.00,0.00,0.00,0.00,2.32,0.00,0.00,0.00,2.41,3.44,0.00,1.76,0.94,1.99,0.00,0.00,0.00,3.84,7.54,0.00,2.06,4.93,9.50,4.96,1.98,1.77,0.85,0.00,1.95,0.00,11.09,0.00,6.32,1.74,4.57,5.62,4.63,2.59,5.26,3.74,7.80,3.62,1.09
Annexin A4 ,P97429,36 kDa,14.78,0.00,0.00,2.38,2.31,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,1.76,0.00,0.99,0.00,0.00,0.00,9.98,0.00,0.00,2.06,0.82,3.80,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Annexin A5 ,P48036,36 kDa,39.41,6.91,0.00,9.51,6.93,4.56,9.29,12.45,7.51,8.04,7.22,10.32,10.85,14.06,5.64,11.91,5.49,4.19,7.39,5.37,13.41,9.45,9.27,6.57,21.86,14.06,6.91,18.59,7.63,8.18,14.62,19.89,20.33,11.28,17.16,10.44,11.87,17.79,14.83,22.41,13.53,20.55,20.27,28.98,17.38
Annexin A6 ,P14824,76 kDa,14.78,0.00,0.00,8.32,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.82,0.99,0.00,1.05,0.00,12.28,7.54,0.00,0.00,9.04,9.50,4.13,0.00,0.89,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,1.72,0.00,0.00,0.78,0.00,0.00
Apoe protein ,Q6GTX3,36 kDa,3.28,10.37,5.42,2.38,2.31,3.04,0.00,0.00,0.00,0.00,4.81,3.44,0.00,2.64,0.94,1.99,0.00,2.09,2.46,0.77,0.00,0.00,3.09,0.82,0.00,5.79,2.96,5.31,2.54,1.82,2.92,5.42,1.85,7.18,11.74,3.48,0.91,2.81,1.85,5.17,4.51,2.80,3.12,0.00,3.26
Apolipoprotein A-I ,Q00623,31 kDa,22.99,5.76,12.64,10.70,8.08,0.00,0.00,0.00,0.00,4.02,0.00,0.00,1.97,3.51,4.70,3.97,4.39,1.05,5.75,7.67,3.35,3.78,12.36,9.86,5.70,3.31,3.95,7.97,1.70,4.55,1.95,3.62,4.62,2.05,18.06,22.63,6.39,6.55,5.56,12.93,6.01,4.67,4.68,3.62,4.35
Apolipoprotein A-IV ,P06728,45 kDa,13.14,1.15,3.61,4.76,4.62,1.52,0.00,4.98,8.77,4.02,6.02,10.32,6.90,0.00,4.70,0.99,9.88,2.09,13.14,7.67,0.84,5.67,18.53,13.15,13.31,10.75,3.95,7.97,1.70,3.64,3.90,4.52,3.70,0.00,20.77,0.00,0.00,3.74,0.00,12.93,0.00,0.00,3.12,0.00,0.00
Apoptotic chromatin condensation inducer in the nucleus ,Q9JIX8,151 kDa,0.00,0.00,0.00,0.00,3.46,0.00,5.81,7.47,5.01,8.04,4.81,3.44,1.97,0.00,3.76,7.94,1.10,7.32,0.00,0.00,1.68,0.00,0.00,0.82,0.00,0.00,0.99,0.00,0.00,0.91,0.00,0.00,0.00,1.03,1.81,0.00,0.00,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arginine and glutamate-rich protein 1 ,Q3UL36,33 kDa,1.64,3.46,0.00,1.19,0.00,1.52,0.00,0.00,1.25,0.00,0.00,3.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.95,0.83,0.99,0.00,5.09,0.91,0.00,0.00,0.92,2.05,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00
Armet protein ,Q80ZP8,19 kDa,21.35,40.32,12.64,30.91,31.17,18.24,18.58,21.17,20.03,16.07,22.86,17.21,9.86,18.45,18.81,10.92,13.17,13.60,18.06,9.21,17.60,14.17,9.27,8.22,8.55,8.27,6.91,11.51,17.80,7.27,6.82,10.85,7.39,3.08,10.84,13.92,9.13,7.49,8.34,7.76,9.02,6.54,3.90,9.66,16.30
Arpin ,Q9D0A3,25 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.88,0.00,1.99,0.00,1.05,0.82,0.00,1.68,0.94,0.00,0.82,0.00,0.00,1.98,0.89,0.00,0.00,0.00,0.90,0.92,0.00,1.81,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00
Art3 protein ,B7ZNM3,41 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.90,0.00,0.00,0.00,0.00,5.48,3.74,3.71,1.72,3.01,1.87,3.12,0.00,0.00
Asparagine--tRNA ligase/ cytoplasmic ,Q8BP47,64 kDa,1.64,0.00,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,1.76,0.00,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.82,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aspartate--tRNA ligase/ cytoplasmic ,Q922B2,57 kDa,29.55,8.06,32.50,22.59,24.24,16.72,16.26,6.23,10.02,5.02,6.02,9.18,18.74,13.18,14.11,9.93,7.68,0.00,27.92,18.42,0.00,13.23,9.27,17.25,9.50,7.44,12.84,7.08,25.43,12.73,0.00,0.00,0.00,0.00,1.81,0.00,0.00,0.94,0.00,0.00,0.00,0.00,3.90,0.00,1.09
Aspartyl aminopeptidase ,Q9Z2W0,52 kDa,4.93,6.91,0.00,7.13,11.54,3.04,13.94,22.42,17.53,23.10,9.62,12.62,11.83,7.03,15.05,20.84,7.68,12.56,0.82,6.91,4.19,7.56,8.24,4.11,4.75,4.96,2.96,5.31,3.39,6.36,6.82,9.94,8.31,7.18,1.81,0.00,8.22,8.43,4.63,0.00,0.75,3.74,4.68,6.04,0.00
Astrocytic phosphoprotein PEA-15 ,Q62048,15 kDa,0.00,0.00,0.00,1.19,4.62,3.04,4.65,0.00,0.00,3.01,0.00,0.00,1.97,3.51,0.00,3.97,1.10,2.09,1.64,0.00,2.51,0.00,4.12,0.00,1.90,2.48,1.98,3.54,4.24,1.82,3.90,3.62,2.77,4.10,3.61,0.00,0.00,1.87,0.93,0.86,1.50,3.74,2.34,6.04,4.35
ATP synthase subunit alpha/ mitochondrial ,Q03265,60 kDa,9.85,5.76,10.83,8.32,5.77,13.68,5.81,8.72,2.50,7.03,3.61,1.15,1.97,1.76,1.88,0.00,3.29,10.46,0.00,3.84,0.00,0.00,0.00,2.46,8.55,2.48,0.99,3.54,5.09,0.91,0.00,1.81,3.70,7.18,0.90,0.00,1.83,0.00,0.00,12.07,0.75,5.60,3.12,22.94,6.52
ATP synthase subunit beta/ mitochondrial ,P56480,56 kDa,21.35,21.89,14.45,29.72,12.70,12.16,1.16,3.74,5.01,5.02,4.81,4.59,4.93,6.15,3.76,3.97,2.19,10.46,9.85,0.77,4.19,8.50,8.24,15.61,13.31,2.48,0.99,7.08,0.00,2.73,0.00,0.90,6.47,7.18,0.00,5.22,0.00,0.00,4.63,10.34,4.51,5.60,0.00,26.57,4.35
ATP synthase subunit delta/ mitochondrial ,Q9D3D9,18 kDa,6.57,3.46,0.00,2.38,0.00,0.00,1.16,2.49,5.01,2.01,2.41,2.29,2.96,0.88,1.88,0.00,4.39,1.05,1.64,0.00,0.84,3.78,4.12,0.00,0.00,1.65,1.98,2.66,4.24,0.00,3.90,1.81,3.70,4.10,0.00,8.70,1.83,0.00,3.71,2.59,1.50,1.87,3.12,4.83,2.17
ATP synthase subunit e/ mitochondrial ,Q06185,8 kDa,0.00,0.00,0.00,2.38,0.00,0.00,2.32,0.00,3.76,2.01,0.00,0.00,0.00,2.64,1.88,3.97,0.00,2.09,2.46,0.00,0.00,0.94,0.00,0.00,0.00,0.83,0.00,0.00,0.00,1.82,0.00,0.00,2.77,2.05,0.90,0.00,0.00,0.94,0.00,0.00,2.25,3.74,0.00,2.42,4.35
ATPase inhibitor/ mitochondrial ,O35143,12 kDa,1.64,0.00,5.42,2.38,4.62,0.00,0.00,2.49,3.76,2.01,0.00,2.29,0.99,3.51,0.00,1.99,2.19,0.00,1.64,6.91,1.68,1.89,2.06,3.29,0.00,4.13,0.00,3.54,3.39,0.91,0.00,3.62,0.00,1.03,0.00,5.22,0.91,2.81,0.93,1.72,3.76,0.00,2.34,0.00,1.09
ATP-dependent (S)-NAD(P)H-hydrate dehydratase ,Q9CZ42,37 kDa,1.64,5.76,1.81,7.13,0.00,1.52,13.94,13.70,12.52,8.04,14.44,16.06,6.90,8.78,15.05,10.92,5.49,6.28,7.39,9.98,17.60,15.12,13.39,18.90,8.55,12.40,6.91,8.85,9.32,12.73,5.85,9.94,11.09,9.23,9.03,0.00,11.87,8.43,12.97,13.79,9.02,13.08,13.25,1.21,5.43
ATP-dependent RNA helicase A ,O70133,149 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.83,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A-X actin ,Q61276,42 kDa,203.60,177.43,207.64,218.74,222.78,215.85,243.91,236.63,237.91,194.85,262.27,259.22,230.75,232.80,231.35,225.30,250.20,185.19,250.42,212.55,164.28,168.20,192.54,241.54,166.32,231.54,288.45,173.47,273.76,244.52,195.85,224.16,210.64,232.80,185.12,490.84,247.45,210.62,265.03,197.35,240.49,211.09,264.26,258.43,197.72
BAG family molecular chaperone regulator 3 ,Q9JLV1,62 kDa,3.28,3.46,3.61,1.19,2.31,0.00,2.32,1.25,2.50,1.00,0.00,0.00,0.00,0.00,0.00,1.99,0.00,3.14,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,3.64,0.00,0.00,1.85,1.03,0.00,0.00,2.74,0.94,0.00,1.72,0.00,0.00,0.00,0.00,0.00
Band 4.1-like protein 2 ,O70318,110 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,1.05,0.00,0.00,2.51,3.78,0.00,0.00,0.00,0.00,0.00,2.66,1.70,0.00,0.00,0.00,0.92,1.03,0.90,0.00,0.91,0.94,0.00,0.86,1.50,0.93,3.12,0.00,1.09
Basal cell adhesion molecule ,Q9R069,68 kDa,3.28,5.76,3.61,5.94,10.39,1.52,13.94,18.68,22.54,13.06,4.81,5.74,5.92,10.54,13.17,8.93,15.36,13.60,11.50,10.74,10.90,11.34,13.39,4.11,10.45,11.58,8.89,10.62,5.93,12.73,21.44,15.37,15.71,11.28,12.64,0.00,20.09,15.91,21.31,12.07,14.28,15.88,11.69,16.91,19.56
Basement membrane-specific heparan sulfate proteoglycan core protein ,Q05793,398 kDa,3.28,2.30,3.61,16.64,10.39,4.56,31.36,32.38,22.54,36.16,26.47,39.00,39.44,46.56,27.27,43.67,29.63,32.44,21.35,34.53,30.17,50.08,28.83,27.11,27.56,22.33,26.67,27.44,17.80,22.73,35.08,25.31,30.49,25.64,30.70,8.70,16.44,23.40,21.31,9.48,24.80,9.34,28.06,16.91,10.86
Basigin ,P18572,42 kDa,1.64,3.46,0.00,1.19,0.00,0.00,3.48,2.49,5.01,6.03,3.61,4.59,1.97,0.00,0.00,2.98,0.00,0.00,0.82,0.77,0.00,0.00,0.00,0.00,0.00,1.65,0.99,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.90,0.00,0.91,0.00,0.00,1.72,1.50,0.00,3.90,0.00,0.00
Beta-2-glycoprotein 1 ,Q01339,39 kDa,11.49,1.15,9.03,13.08,9.23,7.60,10.45,6.23,10.02,7.03,4.81,11.47,1.97,1.76,7.52,5.96,8.78,6.28,8.21,0.00,0.00,0.00,6.18,1.64,0.00,0.83,9.88,1.77,0.85,0.91,0.00,0.00,0.92,0.00,4.52,0.00,6.39,6.55,0.93,7.76,3.01,0.93,3.90,0.00,0.00
Beta-2-microglobulin ,P01887,14 kDa,1.64,2.30,0.00,1.19,0.00,0.00,0.00,0.00,2.50,0.00,1.20,0.00,0.00,2.64,0.00,0.99,3.29,0.00,2.46,0.77,0.00,0.00,2.06,0.00,0.00,3.31,0.00,0.89,2.54,5.45,0.00,1.81,3.70,1.03,0.90,10.44,0.91,1.87,0.00,5.17,4.51,0.00,3.90,8.45,7.60
